model,log_loss,brier,auc_roc,accuracy
naive,0.6880329772694017,0.24744719371525903,0.5,0.5506108202443281
logistic_regression,0.606325804264242,0.20978186243142588,0.7243333897496653,0.6605584642233857
neural_net,0.6098491354158545,0.2113333797553129,0.7204652808764022,0.6570680628272252
